sample,adc,filtered,lead_off
958,5316,-247.982,0
959,5275,-208.916,0
960,5222,-183.687,0
961,5154,-174.396,0
962,5137,-181.365,0
963,5166,-203.115,0
964,5205,-235.939,0
965,5224,-273.836,0
966,5249,-309.600,0
967,5310,-336.543,0
968,5350,-349.672,0
969,5385,-346.147,0
970,5425,-325.536,0
971,5446,-289.898,0
972,5439,-243.486,0
973,5397,-192.263,0
974,5348,-143.302,0
975,5320,-103.759,0
976,5292,-79.316,0
977,5264,-72.706,0
978,5253,-83.204,0
979,5278,-107.134,0
980,5321,-138.774,0
981,5384,-171.242,0
982,5435,-197.471,0
983,5468,-211.376,0
984,5475,-209.137,0
985,5471,-190.190,0
986,5467,-157.449,0
987,5464,-116.516,0
988,5458,-74.193,0
989,5460,-36.875,0
990,5475,-9.222,0
991,5494,6.735,0
992,5513,11.905,0
993,5504,9.606,0
994,5498,4.224,0
995,5521,-0.320,0
996,5537,-1.446,0
997,5558,2.028,0
998,5589,10.150,0
999,5630,22.281,0
1000,5669,37.721,0
1001,5704,56.222,0
1002,5751,78.094,0
1003,5817,104.024,0
1004,5854,134.823,0
1005,5860,170.902,0
1006,5856,211.391,0
1007,5869,253.611,0
1008,5877,293.655,0
1009,5905,327.844,0
1010,5961,354.188,0
1011,6033,373.281,0
1012,6116,388.371,0
1013,6176,404.445,0
1014,6230,426.542,0
1015,6270,458.010,0
1016,6249,499.385,0
1017,6194,547.959,0
1018,6148,597.967,0
1019,6138,641.837,0
1020,6174,672.633,0
1021,6244,686.759,0
1022,6355,685.640,0
1023,6413,675.589,0
1024,6407,665.579,0
1025,6370,663.553,0
1026,6328,673.131,0
1027,6293,692.566,0
1028,6281,716.145,0
1029,6274,736.820,0
1030,6288,748.730,0
1031,6314,748.813,0
1032,6337,737.403,0
1033,6352,717.867,0
1034,6353,695.411,0
1035,6347,675.424,0
1036,6323,661.860,0
1037,6289,656.074,0
1038,6235,656.344,0
1039,6181,658.226,0
1040,6139,655.783,0
1041,6078,643.427,0
1042,5983,617.522,0
1043,5896,576.918,0
1044,5850,522.581,0
1045,5807,457.188,0
1046,5712,384.650,0
1047,5605,308.876,0
1048,5493,232.121,0
1049,5383,154.272,0
1050,5263,73.538,0
1051,5182,-12.109,0
1052,5144,-103.460,0
1053,5138,-198.917,0
1054,5151,-294.125,0
1055,5126,-382.868,0
1056,5088,-459.088,0
1057,5052,-519.075,0
1058,5015,-562.510,0
1059,4965,-591.989,0
1060,4927,-611.771,0
1061,4901,-626.534,0
1062,4895,-640.330,0
1063,4894,-655.834,0
1064,4903,-673.984,0
1065,4900,-694.070,0
1066,4903,-714.166,0
1067,4903,-731.762,0
1068,4891,-744.419,0
1069,4880,-750.464,0
1070,4871,-749.601,0
1071,4862,-743.145,0
1072,4860,-733.682,0
1073,4881,-724.215,0
1074,4873,-717.057,0
1075,4869,-713.062,0
1076,4895,-711.583,0
1077,4931,-710.749,0
1078,4972,-707.819,0
1079,5002,-699.850,0
1080,5013,-684.730,0
1081,5017,-662.133,0
1082,5019,-633.797,0
1083,4997,-602.936,0
1084,4971,-573.248,0
1085,4949,-548.085,0
1086,4927,-529.932,0
1087,4911,-520.155,0
1088,4892,-519.030,0
1089,4873,-525.950,0
1090,4869,-539.629,0
1091,4881,-558.089,0
1092,4893,-578.491,0
1093,4928,-597.188,0
1094,4925,-610.280,0
1095,4933,-614.697,0
1096,4963,-609.259,0
1097,5010,-594.839,0
1098,5043,-573.467,0
1099,5058,-547.277,0
1100,5075,-518.041,0
1101,5080,-487.196,0
1102,5079,-455.995,0
1103,5087,-425.675,0
1104,5094,-397.548,0
1105,5092,-372.900,0
1106,5058,-352.911,0
1107,5025,-338.738,0
1108,4996,-331.531,0
1109,4995,-332.025,0
1110,5043,-339.705,0
1111,5091,-352.043,0
1112,5134,-364.513,0
1113,5149,-371.854,0
1114,5141,-370.046,0
1115,5132,-357.892,0
1116,5126,-337.302,0
1117,5125,-312.225,0
1118,5154,-286.925,0
1119,5179,-264.450,0
1120,5165,-245.969,0
1121,5148,-231.357,0
1122,5146,-220.346,0
1123,5135,-213.070,0
1124,5131,-209.750,0
1125,5141,-210.116,0
1126,5157,-213.048,0
